,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Brest,Romain Faivre,FRA,"MF,FW",26,1998,10.0,13,10,4,5,4,5,10,50.0,5,8,0,8,4,17,3,1
FRA-Ligue 1,2425,Brest,Soumaïla Coulibaly,FRA,DF,20,2003,4.9,4,2,2,2,0,1,1,100.0,0,7,2,5,5,9,26,0
FRA-Ligue 1,2425,Brest,Sérigné Diop,SEN,FW,19,2005,0.0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
FRA-Ligue 1,2425,Le Havre,Abdoulaye Touré,GUI,MF,30,1994,25.8,61,34,31,21,9,33,59,55.9,26,36,19,17,34,95,42,5
FRA-Ligue 1,2425,Le Havre,Alois Confais,FRA,MF,27,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Le Havre,André Ayew,GHA,FW,34,1989,16.1,18,10,3,7,8,7,13,53.8,6,9,2,7,3,21,21,1
FRA-Ligue 1,2425,Le Havre,Antoine Joujou,FRA,"MF,FW",21,2003,10.5,16,11,10,4,2,9,15,60.0,6,15,3,12,9,25,19,0
FRA-Ligue 1,2425,Le Havre,Arouna Sangante,SEN,DF,22,2002,13.8,25,16,11,14,0,10,17,58.8,7,11,5,6,21,46,65,3
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,30,1994,18.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1
FRA-Ligue 1,2425,Le Havre,Christopher Operi,CIV,"DF,FW",27,1997,13.0,13,9,6,2,5,7,12,58.3,5,20,6,14,14,27,30,0
FRA-Ligue 1,2425,Le Havre,Daler Kuzyaev,RUS,MF,31,1993,6.3,13,8,7,4,2,2,9,22.2,7,7,4,3,9,22,8,0
FRA-Ligue 1,2425,Le Havre,Elysée Logbo,FRA,FW,20,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Le Havre,Emmanuel Sabbi,USA,"FW,MF",26,1997,7.3,14,7,7,4,3,5,8,62.5,3,2,0,2,3,17,4,0
FRA-Ligue 1,2425,Le Havre,Etienne Youte Kinkoue,FRA,DF,22,2002,25.8,19,10,11,7,1,13,20,65.0,7,36,23,13,29,48,158,3
FRA-Ligue 1,2425,Le Havre,Fodé Ballo-Touré,SEN,"DF,MF",27,1997,6.5,8,7,3,4,1,5,9,55.6,4,8,3,5,4,12,27,0
FRA-Ligue 1,2425,Le Havre,Gautier Lloris,FRA,DF,29,1995,30.8,68,43,52,16,0,38,53,71.7,15,33,21,12,34,102,192,0
FRA-Ligue 1,2425,Le Havre,Ilyes Housni,FRA,"FW,MF",19,2005,2.6,7,5,2,3,2,2,4,50.0,2,2,0,2,1,8,2,0
FRA-Ligue 1,2425,Le Havre,Issa Soumaré,SEN,"FW,MF",23,2000,21.1,25,14,8,10,7,13,49,26.5,36,19,4,15,16,41,32,0
FRA-Ligue 1,2425,Le Havre,Josué Casimir,FRA,"FW,MF",22,2001,22.2,37,26,15,15,7,9,18,50.0,9,19,0,19,7,44,35,1
FRA-Ligue 1,2425,Le Havre,Junior Mwanga,FRA,MF,21,2003,10.6,26,16,10,13,3,11,19,57.9,8,10,3,7,8,34,18,2
FRA-Ligue 1,2425,Le Havre,Kandet Diawara,GUI,FW,24,2000,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
FRA-Ligue 1,2425,Le Havre,Koka,EGY,FW,31,1993,9.5,4,1,1,3,0,0,4,0.0,4,3,0,3,4,8,6,1
FRA-Ligue 1,2425,Le Havre,Loïc Nego,HUN,"DF,FW",33,1991,27.3,58,35,37,16,5,41,64,64.1,23,17,3,14,29,87,82,0
FRA-Ligue 1,2425,Le Havre,Mahamadou Diawara,FRA,MF,19,2005,6.5,20,12,10,8,2,8,13,61.5,5,13,6,7,13,33,11,1
FRA-Ligue 1,2425,Le Havre,Mathieu Gorgelin,FRA,GK,33,1990,16.0,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,8,2
FRA-Ligue 1,2425,Le Havre,Mathéo Bodmer,FRA,MF,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Le Havre,Oussama Targhalline,MAR,MF,22,2002,11.0,19,14,12,3,4,5,12,41.7,7,14,7,7,19,38,14,2
FRA-Ligue 1,2425,Le Havre,Rassoul Ndiaye,SEN,MF,22,2001,11.8,35,25,19,12,4,11,25,44.0,14,15,4,11,12,47,24,0
FRA-Ligue 1,2425,Le Havre,Samuel Grandsir,FRA,"MF,FW",27,1996,0.9,5,5,0,3,2,2,3,66.7,1,2,0,2,0,5,0,0
FRA-Ligue 1,2425,Le Havre,Steve Ngoura,FRA,FW,19,2005,3.2,4,2,1,1,2,3,3,100.0,0,2,1,1,0,4,2,0
FRA-Ligue 1,2425,Le Havre,Timothee Pembele,FRA,DF,21,2002,12.4,30,22,17,9,4,14,23,60.9,9,16,5,11,11,41,42,0
FRA-Ligue 1,2425,Le Havre,Yanis Zouaoui,ALG,"DF,FW",30,1994,10.8,20,10,10,8,2,11,15,73.3,4,15,2,13,8,28,43,0
FRA-Ligue 1,2425,Le Havre,Yassine Kechta,MAR,"MF,FW",22,2002,23.3,60,36,32,21,7,33,78,42.3,45,25,2,23,26,86,32,2
FRA-Ligue 1,2425,Le Havre,Yoann Salmier,GUF,DF,31,1992,8.9,14,7,9,4,1,10,13,76.9,3,12,8,4,10,24,59,0
FRA-Ligue 1,2425,Lens,Abdukodir Khusanov,UZB,DF,20,2004,10.8,15,11,9,5,1,7,11,63.6,4,17,11,6,26,41,57,0
FRA-Ligue 1,2425,Lens,Adrien Thomasson,FRA,MF,30,1993,29.1,90,47,42,25,23,52,95,54.7,43,48,3,45,19,109,28,2
FRA-Ligue 1,2425,Lens,Anass Zaroury,MAR,"FW,MF",23,2000,15.6,23,17,6,12,5,9,26,34.6,17,9,0,9,6,29,15,0
FRA-Ligue 1,2425,Lens,Andy Diouf,FRA,MF,21,2003,24.7,37,26,10,22,5,16,40,40.0,24,24,1,23,15,52,18,2
FRA-Ligue 1,2425,Lens,Angelo Fulgini,FRA,"MF,FW",27,1996,11.6,14,10,6,4,4,6,16,37.5,10,11,1,10,2,16,3,0
FRA-Ligue 1,2425,Lens,Brice Samba,FRA,GK,30,1994,15.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,2
FRA-Ligue 1,2425,Lens,David Costa,POR,"MF,FW",23,2001,3.9,2,0,1,1,0,1,4,25.0,3,5,1,4,1,3,0,0
FRA-Ligue 1,2425,Lens,Deiver Machado,COL,"DF,MF",30,1993,20.1,36,26,14,14,8,17,30,56.7,13,20,4,16,16,52,34,2
FRA-Ligue 1,2425,Lens,Facundo Medina,ARG,DF,25,1999,28.3,44,29,22,18,4,24,42,57.1,18,30,10,20,32,76,70,0
FRA-Ligue 1,2425,Lens,Florian Sotoca,FRA,"FW,MF",33,1990,19.9,22,13,3,8,11,12,22,54.5,10,12,2,10,14,36,25,0
FRA-Ligue 1,2425,Lens,Gabin Capuano,FRA,FW,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lens,Goduine Koyalipou,CTA,FW,24,2000,9.8,3,2,0,3,0,1,1,100.0,0,4,0,4,1,4,8,0
FRA-Ligue 1,2425,Lens,Hamzat Ojediran,NGA,"MF,FW",20,2003,4.6,28,15,12,13,3,7,19,36.8,12,10,2,8,10,38,7,0
FRA-Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,27,1996,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0
FRA-Ligue 1,2425,Lens,Jeremy Agbonifo,SWE,"FW,MF",18,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1
FRA-Ligue 1,2425,Lens,Jhoanner Chávez,ECU,"DF,MF",22,2002,6.6,9,5,4,4,1,2,7,28.6,5,10,1,9,6,15,13,0
FRA-Ligue 1,2425,Lens,Jonathan Gradit,FRA,DF,31,1992,23.5,44,23,22,19,3,23,40,57.5,17,27,12,15,25,69,122,2
FRA-Ligue 1,2425,Lens,Juma Bah,SLE,DF,18,2006,7.6,16,10,6,10,0,5,7,71.4,2,10,7,3,17,33,47,1
FRA-Ligue 1,2425,Lens,Kembo Diliwidi,FRA,DF,18,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lens,Kevin Danso,AUT,DF,25,1998,12.0,19,7,12,5,2,12,16,75.0,4,25,19,6,20,39,62,1
FRA-Ligue 1,2425,Lens,Kyllian Antonio,FRA,"DF,MF",16,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1
FRA-Ligue 1,2425,Lens,M'Bala Nzola,ANG,FW,27,1996,16.2,5,4,0,1,4,3,9,33.3,6,9,1,8,5,10,7,0
FRA-Ligue 1,2425,Lens,Malang Sarr,FRA,DF,25,1999,15.4,21,13,12,6,3,16,27,59.3,11,18,9,9,22,43,63,3
FRA-Ligue 1,2425,Lens,Martin Satriano,URU,"FW,DF",23,2001,1.0,3,1,1,1,1,3,3,100.0,0,0,0,0,0,3,2,0
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,2,2
FRA-Ligue 1,2425,Lens,Nampalys Mendy,SEN,MF,32,1992,6.5,15,8,4,7,4,6,14,42.9,8,8,2,6,9,24,8,0
FRA-Ligue 1,2425,Lens,Neil El Aynaoui,FRA,MF,23,2001,17.6,39,21,18,15,6,12,34,35.3,22,34,8,26,30,69,29,0
FRA-Ligue 1,2425,Lens,Przemysław Frankowski,POL,DF,29,1995,15.4,32,21,17,10,5,19,30,63.3,11,10,2,8,19,51,28,0
FRA-Ligue 1,2425,Lens,Rayan Fofana,FRA,"FW,MF",18,2006,0.3,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0
FRA-Ligue 1,2425,Lens,Ruben Aguilar,FRA,"DF,MF",31,1993,12.5,34,18,17,12,5,24,39,61.5,15,25,3,22,13,47,23,0
FRA-Ligue 1,2425,Lens,Rémy Labeau Lascary,GLP,"FW,MF",21,2003,7.1,16,10,7,6,3,5,11,45.5,6,5,0,5,1,17,7,0
FRA-Ligue 1,2425,Lens,Tom Pouilly,FRA,"DF,MF",21,2003,3.0,9,6,5,1,3,5,10,50.0,5,5,1,4,4,13,11,0
FRA-Ligue 1,2425,Lens,Wesley Saïd,FRA,FW,29,1995,10.1,16,11,3,10,3,6,13,46.2,7,6,0,6,2,18,2,0
FRA-Ligue 1,2425,Lille,Aaron Malouda,FRA,FW,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lille,Alexsandro Ribeiro,BRA,DF,24,1999,30.0,32,19,18,13,1,20,30,66.7,10,23,13,10,27,59,143,3
FRA-Ligue 1,2425,Lille,André Gomes,POR,MF,31,1993,14.2,27,13,9,11,7,11,31,35.5,20,7,1,6,6,33,11,2
FRA-Ligue 1,2425,Lille,Angel Gomes,ENG,MF,23,2000,8.2,10,6,4,4,2,2,12,16.7,10,0,0,0,0,10,2,0
FRA-Ligue 1,2425,Lille,Ayyoub Bouaddi,FRA,MF,16,2007,12.8,50,31,21,21,8,19,32,59.4,13,12,3,9,10,60,12,1
FRA-Ligue 1,2425,Lille,Aïssa Mandi,ALG,DF,32,1991,19.3,31,17,12,15,4,16,22,72.7,6,23,11,12,15,46,54,0
FRA-Ligue 1,2425,Lille,Bafodé Diakité,FRA,DF,23,2001,30.7,31,18,17,11,3,18,26,69.2,8,30,17,13,27,58,99,5
FRA-Ligue 1,2425,Lille,Benjamin André,FRA,MF,33,1990,29.9,103,57,31,60,12,54,96,56.3,42,42,6,36,48,151,56,0
FRA-Ligue 1,2425,Lille,Chuba Akpom,ENG,FW,28,1995,7.1,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0
FRA-Ligue 1,2425,Lille,Edon Zhegrova,KVX,"FW,MF",25,1999,10.9,5,2,3,0,2,2,7,28.6,5,8,0,8,4,9,1,0
FRA-Ligue 1,2425,Lille,Ethan Mbappé,FRA,"MF,FW",17,2006,2.5,6,2,3,2,1,0,4,0.0,4,6,0,6,1,7,0,0
FRA-Ligue 1,2425,Lille,Gabriel Gudmundsson,SWE,DF,25,1999,19.8,36,25,15,15,6,23,36,63.9,13,19,7,12,17,53,41,3
FRA-Ligue 1,2425,Lille,Hákon Arnar Haraldsson,ISL,"MF,FW",21,2003,19.5,36,16,9,17,10,16,33,48.5,17,10,2,8,8,44,6,0
FRA-Ligue 1,2425,Lille,Ismaily,BRA,DF,34,1990,10.0,33,17,17,12,4,17,26,65.4,9,15,1,14,13,46,49,0
FRA-Ligue 1,2425,Lille,Jonathan David,CAN,FW,24,2000,28.4,24,8,3,12,9,9,21,42.9,12,13,2,11,7,31,10,1
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,13,4
FRA-Ligue 1,2425,Lille,Matias Fernandez-Pardo,BEL,"FW,MF",19,2005,11.8,12,9,3,6,3,6,12,50.0,6,9,0,9,3,15,6,0
FRA-Ligue 1,2425,Lille,Mitchel Bakker,NED,"FW,DF",24,2000,12.7,23,13,6,11,6,10,19,52.6,9,10,1,9,12,35,15,0
FRA-Ligue 1,2425,Lille,Mohamed Lamine Bayo,GUI,FW,26,1998,3.4,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,4,0
FRA-Ligue 1,2425,Lille,Nabil Bentaleb,ALG,MF,29,1994,3.7,4,3,2,0,2,3,7,42.9,4,5,0,5,5,9,7,2
FRA-Ligue 1,2425,Lille,Ngal'Ayel Mukau,COD,MF,19,2004,13.2,33,18,9,22,2,17,29,58.6,12,14,0,14,15,48,22,0
FRA-Ligue 1,2425,Lille,Osame Sahraoui,MAR,"FW,MF",23,2001,14.4,13,9,4,4,5,3,8,37.5,5,14,1,13,7,20,8,1
FRA-Ligue 1,2425,Lille,Ousmane Toure,FRA,DF,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
FRA-Ligue 1,2425,Lille,Rémy Cabella,FRA,"FW,MF",34,1990,11.2,39,19,16,13,10,19,33,57.6,14,10,1,9,8,47,5,0
FRA-Ligue 1,2425,Lille,Thomas Meunier,BEL,DF,32,1991,21.4,53,38,32,15,6,33,49,67.3,16,21,8,13,34,87,64,0
FRA-Ligue 1,2425,Lille,Tiago Santos,POR,DF,22,2002,4.5,12,7,4,5,3,6,9,66.7,3,2,0,2,2,14,4,0
FRA-Ligue 1,2425,Lille,Younes Lachaab,FRA,"MF,FW",19,2005,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
FRA-Ligue 1,2425,Lyon,Abner,BRA,DF,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0
FRA-Ligue 1,2425,Lyon,Adryelson,BRA,DF,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
FRA-Ligue 1,2425,Lyon,Ainsley Maitland-Niles,ENG,DF,26,1997,22.1,71,44,30,26,15,48,76,63.2,28,28,4,24,25,96,61,6
FRA-Ligue 1,2425,Lyon,Alejandro Rodriguez,POR,MF,16,2008,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lyon,Alexandre Lacazette,FRA,FW,33,1991,22.8,13,6,3,7,3,5,16,31.3,11,13,3,10,8,21,7,0
FRA-Ligue 1,2425,Lyon,Clinton Mata,ANG,DF,31,1992,26.3,41,29,23,14,4,28,36,77.8,8,26,17,9,46,87,72,3
FRA-Ligue 1,2425,Lyon,Corentin Tolisso,FRA,MF,29,1994,25.9,57,25,21,26,10,34,65,52.3,31,52,13,39,22,79,41,1
FRA-Ligue 1,2425,Lyon,Duje Ćaleta-Car,CRO,DF,27,1996,17.6,20,12,11,9,0,10,19,52.6,9,33,25,8,17,37,97,2
FRA-Ligue 1,2425,Lyon,Ernest Nuamah,GHA,"FW,MF",20,2003,11.7,21,11,15,4,2,12,27,44.4,15,9,1,8,8,29,8,1
FRA-Ligue 1,2425,Lyon,Georges Mikautadze,GEO,FW,23,2000,16.1,7,6,1,3,3,3,9,33.3,6,11,0,11,4,11,6,0
FRA-Ligue 1,2425,Lyon,Gift Orban,NGA,"FW,DF",22,2002,2.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lyon,Jordan Veretout,FRA,MF,31,1993,17.3,30,14,14,14,2,17,40,42.5,23,17,3,14,5,35,23,1
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,1,1,1,0,0,0,4,0.0,4,1,0,1,0,1,22,1
FRA-Ligue 1,2425,Lyon,Mahamadou Diawara,FRA,MF,19,2005,0.2,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0
FRA-Ligue 1,2425,Lyon,Malick Fofana,BEL,FW,19,2005,17.7,22,11,8,11,3,8,17,47.1,9,12,0,12,8,30,6,0
FRA-Ligue 1,2425,Lyon,Mama Samba Baldé,GNB,FW,28,1995,0.4,2,2,0,2,0,0,0,,0,0,0,0,1,3,1,0
FRA-Ligue 1,2425,Lyon,Maxence Caqueret,FRA,MF,24,2000,6.4,21,11,5,11,5,4,22,18.2,18,12,2,10,7,28,2,0
FRA-Ligue 1,2425,Lyon,Moussa Niakhate,SEN,DF,28,1996,30.3,47,27,37,8,2,24,32,75.0,8,26,17,9,25,72,143,3
FRA-Ligue 1,2425,Lyon,Nemanja Matić,SRB,MF,35,1988,22.3,42,29,15,21,6,23,41,56.1,18,21,9,12,18,60,31,1
FRA-Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,31,1992,21.1,57,37,24,22,11,29,48,60.4,19,25,7,18,36,93,55,0
FRA-Ligue 1,2425,Lyon,Orel Mangala,BEL,MF,26,1998,0.7,1,0,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0
FRA-Ligue 1,2425,Lyon,Paul Akouokou,CIV,MF,26,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1
FRA-Ligue 1,2425,Lyon,Rayan Cherki,FRA,"FW,MF",20,2003,22.7,15,12,3,8,4,6,28,21.4,22,6,0,6,7,22,6,0
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Lyon,Sael Kumbedi,FRA,DF,19,2005,10.6,28,14,11,13,4,14,20,70.0,6,11,3,8,8,36,32,1
FRA-Ligue 1,2425,Lyon,Saïd Benrahma,ALG,"FW,MF",28,1995,8.2,9,5,4,4,1,3,10,30.0,7,6,0,6,3,12,2,0
FRA-Ligue 1,2425,Lyon,Tanner Tessmann,USA,MF,22,2001,13.7,25,15,11,10,4,12,25,48.0,13,13,7,6,19,44,29,1
FRA-Ligue 1,2425,Lyon,Thiago Almada,ARG,"MF,FW",23,2001,10.6,14,8,7,5,2,7,21,33.3,14,2,0,2,7,21,6,3
FRA-Ligue 1,2425,Lyon,Téo Barisic,FRA,DF,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Lyon,Warmed Omari,COM,DF,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Lyon,Wilfried Zaha,CIV,FW,31,1992,0.8,1,1,1,0,0,1,2,50.0,1,3,0,3,1,2,0,0
FRA-Ligue 1,2425,Marseille,Adrien Rabiot,FRA,MF,29,1995,27.6,49,31,17,21,11,19,32,59.4,13,21,2,19,21,70,32,0
FRA-Ligue 1,2425,Marseille,Amar Dedić,BIH,DF,21,2002,3.5,5,4,2,2,1,3,10,30.0,7,0,0,0,3,8,12,1
FRA-Ligue 1,2425,Marseille,Amine Gouiri,ALG,"FW,MF",24,2000,11.6,5,5,0,1,4,2,3,66.7,1,9,0,9,1,6,1,0
FRA-Ligue 1,2425,Marseille,Amine Harit,MAR,MF,27,1997,5.8,8,7,0,6,2,1,2,50.0,1,6,0,6,3,11,1,1
FRA-Ligue 1,2425,Marseille,Bamo Meïté,CIV,DF,22,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Marseille,Bilal Nadir,MAR,MF,20,2003,4.3,10,3,4,6,0,4,6,66.7,2,6,1,5,4,14,7,0
FRA-Ligue 1,2425,Marseille,Darryl Bakola,FRA,"DF,MF",16,2007,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
FRA-Ligue 1,2425,Marseille,Derek Cornelius,CAN,DF,26,1997,15.8,24,17,15,8,1,17,22,77.3,5,16,10,6,14,38,51,0
FRA-Ligue 1,2425,Marseille,Elye Wahi,FRA,FW,21,2003,6.4,0,0,0,0,0,0,4,0.0,4,1,0,1,1,1,0,0
FRA-Ligue 1,2425,Marseille,Emmanuel Koum Mbondo,FRA,DF,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Marseille,Enzo Sternal,FRA,"FW,MF",17,2007,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Marseille,Faris Pemi Moumbagna,CMR,FW,24,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2425,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",31,1993,22.4,60,38,31,26,3,27,34,79.4,7,23,6,17,22,82,64,4
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,4,3,4,0,0,4,8,50.0,4,1,0,1,1,5,25,3
FRA-Ligue 1,2425,Marseille,Ismaël Bennacer,ALG,MF,26,1997,7.2,21,10,8,12,1,12,18,66.7,6,6,0,6,10,31,2,1
FRA-Ligue 1,2425,Marseille,Ismaël Koné,CAN,"MF,FW",22,2002,4.0,8,4,3,3,2,3,4,75.0,1,4,1,3,4,12,2,1
FRA-Ligue 1,2425,Marseille,Jon Rowe,ENG,"FW,MF",21,2003,9.0,15,11,5,4,6,6,14,42.9,8,4,1,3,2,17,4,0
FRA-Ligue 1,2425,Marseille,Keyliane Abdallah,FRA,FW,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
FRA-Ligue 1,2425,Marseille,Leonardo Balerdi,ARG,DF,25,1999,25.3,54,39,32,17,5,27,47,57.4,20,25,14,11,38,92,72,4
FRA-Ligue 1,2425,Marseille,Lilian Brassier,FRA,DF,24,1999,8.7,8,6,8,0,0,5,6,83.3,1,8,3,5,9,17,28,2
FRA-Ligue 1,2425,Marseille,Luis Henrique,BRA,"DF,FW",22,2001,29.0,16,9,7,6,3,9,10,90.0,1,15,2,13,10,26,30,0
FRA-Ligue 1,2425,Marseille,Luiz Felipe,ITA,DF,27,1997,1.4,4,3,3,1,0,1,2,50.0,1,3,2,1,3,7,5,0
FRA-Ligue 1,2425,Marseille,Mason Greenwood,ENG,"FW,MF",22,2001,31.2,35,18,10,14,11,16,39,41.0,23,7,0,7,12,47,5,2
FRA-Ligue 1,2425,Marseille,Michael Amir Murillo,PAN,DF,28,1996,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4
FRA-Ligue 1,2425,Marseille,Neal Maupay,FRA,FW,27,1996,11.6,9,4,1,6,2,3,6,50.0,3,5,0,5,2,11,0,0
FRA-Ligue 1,2425,Marseille,Pierre Højbjerg,DEN,MF,28,1995,29.6,64,45,25,32,7,37,69,53.6,32,28,4,24,42,106,33,2
FRA-Ligue 1,2425,Marseille,Pol Lirola,ESP,DF,26,1997,7.6,13,9,5,8,0,5,13,38.5,8,7,2,5,4,17,12,0
FRA-Ligue 1,2425,Marseille,Quentin Merlin,FRA,DF,22,2002,17.7,22,17,12,5,5,9,16,56.3,7,20,4,16,14,36,17,1
FRA-Ligue 1,2425,Marseille,Robinio Vaz,FRA,FW,17,2007,0.8,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0
FRA-Ligue 1,2425,Marseille,Ulisses Garcia,SUI,DF,28,1996,10.3,14,11,7,5,2,4,14,28.6,10,5,1,4,8,22,18,0
FRA-Ligue 1,2425,Marseille,Valentin Carboni,ARG,"MF,FW",19,2005,1.1,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0
FRA-Ligue 1,2425,Marseille,Valentin Rongier,FRA,"MF,DF",29,1994,17.4,50,28,14,31,5,27,43,62.8,16,30,9,21,33,83,28,5
FRA-Ligue 1,2425,Monaco,Aleksandr Golovin,RUS,"MF,FW",28,1996,12.8,38,24,9,20,9,17,39,43.6,22,16,4,12,12,50,7,0
FRA-Ligue 1,2425,Monaco,Almoatasem Al Musrati,LBY,MF,28,1996,4.3,14,11,5,8,1,7,11,63.6,4,3,1,2,5,19,9,0
FRA-Ligue 1,2425,Monaco,Breel Embolo,SUI,"FW,MF",27,1997,20.5,22,17,7,7,8,5,16,31.3,11,11,0,11,3,25,10,1
FRA-Ligue 1,2425,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27,1997,21.4,37,26,16,19,2,23,44,52.3,21,26,8,18,22,59,59,0
FRA-Ligue 1,2425,Monaco,Christian Mawissa,FRA,DF,19,2005,16.7,42,29,27,13,2,26,44,59.1,18,25,6,19,26,68,48,1
FRA-Ligue 1,2425,Monaco,Denis Zakaria,SUI,MF,27,1996,23.8,41,26,15,19,7,24,33,72.7,9,31,8,23,34,75,39,1
FRA-Ligue 1,2425,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",19,2005,19.4,31,22,12,12,7,18,32,56.3,14,20,0,20,13,44,4,0
FRA-Ligue 1,2425,Monaco,Eliot Matazo,BEL,MF,22,2002,0.8,3,2,0,3,0,0,0,,0,0,0,0,1,4,2,0
FRA-Ligue 1,2425,Monaco,Folarin Balogun,USA,FW,23,2001,6.8,1,1,0,0,1,0,4,0.0,4,0,0,0,1,2,0,0
FRA-Ligue 1,2425,Monaco,George Ilenikhena,NGA,FW,17,2006,8.0,4,2,0,3,1,1,2,50.0,1,0,0,0,2,6,0,0
FRA-Ligue 1,2425,Monaco,Ismail Jakobs,SEN,DF,24,1999,2.0,5,5,3,0,2,3,5,60.0,2,0,0,0,2,7,6,0
FRA-Ligue 1,2425,Monaco,Jordan Teze,NED,DF,24,1999,6.3,18,9,8,9,1,7,16,43.8,9,12,1,11,6,24,15,0
FRA-Ligue 1,2425,Monaco,Kassoum Ouattara,FRA,"DF,FW",19,2004,4.3,9,7,5,4,0,4,14,28.6,10,6,0,6,5,14,2,1
FRA-Ligue 1,2425,Monaco,Krépin Diatta,SEN,"DF,FW",25,1999,5.6,18,12,13,2,3,14,24,58.3,10,5,1,4,9,27,12,2
FRA-Ligue 1,2425,Monaco,Lamine Camara,SEN,MF,20,2004,22.8,66,41,22,34,10,26,48,54.2,22,30,4,26,31,97,32,1
FRA-Ligue 1,2425,Monaco,Lucas Michal,FRA,"FW,MF",19,2005,1.3,5,3,3,2,0,2,4,50.0,2,2,0,2,1,6,2,0
FRA-Ligue 1,2425,Monaco,Maghnes Akliouche,FRA,"FW,MF",22,2002,26.7,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0
