league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ENG-Premier League,2425,Brighton,Jack Hinshelwood,,,19.0,2005.0,20.5,27,19,8,10,9,11,27,40.7,16,10,3,7,16,43,37,1
ENG-Premier League,2425,Brighton,Jakub Moder,,,25.0,1999.0,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
ENG-Premier League,2425,Brighton,James Milner,,,38.0,1986.0,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,,,24.0,2000.0,32.9,45,29,24,19,2,23,41,56.1,18,37,22,15,24,69,142,2
ENG-Premier League,2425,Brighton,Jason Steele,,,33.0,1990.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,,,22.0,2002.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,,,22.0,2001.0,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
ENG-Premier League,2425,Brighton,Joël Veltman,,,32.0,1992.0,18.9,43,29,24,16,3,31,52,59.6,21,22,7,15,19,62,66,0
ENG-Premier League,2425,Brighton,Julio Enciso,,,20.0,2004.0,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,,,27.0,1997.0,28.9,45,27,15,14,16,19,49,38.8,30,48,3,45,14,59,10,0
ENG-Premier League,2425,Brighton,Lewis Dunk,,,32.0,1991.0,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
ENG-Premier League,2425,Brighton,Mats Wieffer,,,24.0,1999.0,11.3,58,34,27,27,4,32,47,68.1,15,18,2,16,17,75,28,3
ENG-Premier League,2425,Brighton,Matt O'Riley,,,23.0,2000.0,10.4,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
ENG-Premier League,2425,Brighton,Pervis Estupiñán,,,26.0,1998.0,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
ENG-Premier League,2425,Brighton,Simon Adingra,,,22.0,2002.0,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
ENG-Premier League,2425,Brighton,Solly March,,,30.0,1994.0,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
ENG-Premier League,2425,Brighton,Tariq Lamptey,,,23.0,2000.0,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,,,20.0,2004.0,20.4,48,35,25,13,10,17,45,37.8,28,22,0,22,11,59,31,0
ENG-Premier League,2425,Brighton,Yasin Ayari,,,20.0,2003.0,21.8,59,32,15,31,13,26,56,46.4,30,24,6,18,20,79,26,0
ENG-Premier League,2425,Chelsea,Axel Disasi,,,26.0,1998.0,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
ENG-Premier League,2425,Chelsea,Benoît Badiashile,,,23.0,2001.0,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,,,26.0,1997.0,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
ENG-Premier League,2425,Chelsea,Cole Palmer,,,22.0,2002.0,35.5,34,20,12,10,12,12,27,44.4,15,16,1,15,11,45,20,1
ENG-Premier League,2425,Chelsea,Enzo Fernández,,,23.0,2001.0,32.7,65,33,17,30,18,31,84,36.9,53,43,7,36,13,78,23,4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,,,22.0,2002.0,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
ENG-Premier League,2425,Chelsea,Jadon Sancho,,,24.0,2000.0,19.6,13,7,3,3,7,5,12,41.7,7,11,0,11,2,15,8,2
ENG-Premier League,2425,Chelsea,Joshua Acheampong,,,18.0,2006.0,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
ENG-Premier League,2425,Chelsea,João Félix,,,24.0,1999.0,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,,,25.0,1998.0,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,2,10,9,1
ENG-Premier League,2425,Chelsea,Levi Colwill,,,21.0,2003.0,35.0,47,34,25,19,3,18,27,66.7,9,37,25,12,33,80,118,4
ENG-Premier League,2425,Chelsea,Malo Gusto,,,21.0,2003.0,20.7,45,29,27,15,3,25,48,52.1,23,29,8,21,24,69,49,5
ENG-Premier League,2425,Chelsea,Marc Cucurella,,,26.0,1998.0,33.2,67,45,31,31,5,32,61,52.5,29,49,16,33,28,95,95,3
ENG-Premier League,2425,Chelsea,Marc Guiu,,,18.0,2006.0,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,,,18.0,2006.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,,,22.0,2001.0,37.2,114,73,44,54,16,54,86,62.8,32,49,10,39,49,163,60,1
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,,,23.0,2001.0,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,,,23.0,2001.0,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
ENG-Premier League,2425,Chelsea,Noni Madueke,,,22.0,2002.0,22.6,25,18,8,12,5,14,38,36.8,24,17,0,17,10,35,11,0
ENG-Premier League,2425,Chelsea,Pedro Neto,,,24.0,2000.0,25.2,23,9,9,9,5,9,21,42.9,12,14,2,12,9,32,6,0
ENG-Premier League,2425,Chelsea,Reece James,,,24.0,1999.0,11.8,10,9,6,3,1,3,9,33.3,6,14,6,8,13,23,23,4
ENG-Premier League,2425,Chelsea,Renato Veiga,,,21.0,2003.0,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
ENG-Premier League,2425,Chelsea,Robert Sánchez,,,26.0,1997.0,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,24,10
ENG-Premier League,2425,Chelsea,Roméo Lavia,,,20.0,2004.0,8.9,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,,,16.0,2007.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,,,26.0,1997.0,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,,,25.0,1999.0,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1
ENG-Premier League,2425,Chelsea,Tyrique George,,,18.0,2006.0,2.0,2,0,2,0,0,2,3,66.7,1,1,0,1,2,4,1,0
ENG-Premier League,2425,Chelsea,Wesley Fofana,,,23.0,2000.0,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2
ENG-Premier League,2425,Crystal Palace,Adam Wharton,,,20.0,2004.0,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,,,18.0,2005.0,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,,,27.0,1996.0,2.9,7,6,4,3,0,1,5,20.0,4,6,2,4,6,13,16,0
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,,,18.0,2006.0,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,,,21.0,2003.0,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
