league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Brighton,Kaoru Mitoma,,,27.0,1997.0,28.9,1,0,0,40,24,5,75,14,27,0,0,0,99,26,27,49.1
ENG-Premier League,2425,Brighton,Lewis Dunk,,,32.0,1991.0,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
ENG-Premier League,2425,Brighton,Mats Wieffer,,,24.0,1999.0,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1
ENG-Premier League,2425,Brighton,Matt O'Riley,,,23.0,2000.0,10.4,1,0,0,16,13,2,51,13,9,1,0,1,29,5,8,38.5
ENG-Premier League,2425,Brighton,Pervis Estupiñán,,,26.0,1998.0,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9
ENG-Premier League,2425,Brighton,Simon Adingra,,,22.0,2002.0,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
ENG-Premier League,2425,Brighton,Solly March,,,30.0,1994.0,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3
ENG-Premier League,2425,Brighton,Tariq Lamptey,,,23.0,2000.0,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
ENG-Premier League,2425,Brighton,Yankuba Minteh,,,20.0,2004.0,20.4,6,0,0,21,11,6,91,11,35,0,0,0,85,17,34,33.3
ENG-Premier League,2425,Brighton,Yasin Ayari,,,20.0,2003.0,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4
ENG-Premier League,2425,Chelsea,Axel Disasi,,,26.0,1998.0,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
ENG-Premier League,2425,Chelsea,Benoît Badiashile,,,23.0,2001.0,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,,,26.0,1997.0,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1
ENG-Premier League,2425,Chelsea,Cole Palmer,,,22.0,2002.0,35.5,7,0,0,15,60,7,144,11,20,1,0,0,106,2,7,22.2
ENG-Premier League,2425,Chelsea,Enzo Fernández,,,23.0,2001.0,32.7,8,0,0,52,54,2,109,13,33,0,0,0,156,14,29,32.6
ENG-Premier League,2425,Chelsea,Filip Jørgensen,,,22.0,2002.0,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,
ENG-Premier League,2425,Chelsea,Jadon Sancho,,,24.0,2000.0,19.6,2,0,0,6,11,6,25,2,7,2,0,0,99,6,11,35.3
ENG-Premier League,2425,Chelsea,Joshua Acheampong,,,18.0,2006.0,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
ENG-Premier League,2425,Chelsea,João Félix,,,24.0,1999.0,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,,,25.0,1998.0,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0.0
ENG-Premier League,2425,Chelsea,Levi Colwill,,,21.0,2003.0,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7
ENG-Premier League,2425,Chelsea,Malo Gusto,,,21.0,2003.0,20.7,4,0,0,20,20,2,53,24,29,0,0,0,119,9,15,37.5
ENG-Premier League,2425,Chelsea,Marc Cucurella,,,26.0,1998.0,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0
ENG-Premier League,2425,Chelsea,Marc Guiu,,,18.0,2006.0,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Chelsea,Mathis Amougou,,,18.0,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Chelsea,Moisés Caicedo,,,22.0,2001.0,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,,,23.0,2001.0,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3
