,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Rayo Vallecano,Dani Cárdenas,ESP,GK,27,1997,6.0,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2
ESP-La Liga,2425,Real Madrid,Andriy Lunin,UKR,GK,25,1999,7.0,7,0,0,0,0,6.4,0.32,-0.6,-0.09,21,42,50.0,155,29,20.0,26.9,45,24.4,30.6,61,2,3.3,12,1.71,14.9
ESP-La Liga,2425,Real Madrid,Fran,ESP,GK,19,2005,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,4,0.0,14.8,5,1,20.0,1,1.0,12.0
ESP-La Liga,2425,Real Madrid,Thibaut Courtois,BEL,GK,32,1992,30.0,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29.0,871,173,18.5,28.2,148,35.8,39.1,350,16,4.6,14,0.47,10.7
ESP-La Liga,2425,Real Sociedad,Unai Marrero,ESP,GK,22,2001,2.0,3,0,0,0,0,3.5,0.22,0.5,0.26,7,16,43.8,41,11,24.4,28.3,15,40.0,35.1,21,1,4.8,3,1.5,16.8
ESP-La Liga,2425,Real Sociedad,Álex Remiro,ESP,GK,29,1995,36.0,43,5,0,5,0,38.0,0.26,-5.0,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4
ESP-La Liga,2425,Sevilla,Álvaro Fernández,ESP,GK,26,1998,8.3,16,2,0,1,0,11.0,0.25,-5.0,-0.61,37,142,26.1,277,32,39.7,34.3,46,69.6,49.4,105,7,6.7,14,1.69,16.5
ESP-La Liga,2425,Sevilla,Ørjan Nyland,NOR,GK,33,1990,29.7,39,3,3,3,1,37.1,0.31,-0.9,-0.03,118,445,26.5,836,114,42.1,37.2,166,56.0,46.0,408,20,4.9,29,0.98,13.8
ESP-La Liga,2425,Valencia,Giorgi Mamardashvili,GEO,GK,23,2000,34.0,48,5,0,4,3,46.1,0.3,1.1,0.03,141,449,31.4,859,134,36.0,34.5,219,63.9,49.6,472,33,7.0,38,1.12,14.3
ESP-La Liga,2425,Valencia,Stole Dimitrievski,MKD,GK,30,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,20,80.0,53.6,51,3,5.9,16,4.0,25.7
ESP-La Liga,2425,Valladolid,André Ferreira,POR,GK,28,1996,6.0,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,56,57.1,41.7,92,4,4.3,3,0.5,10.4
ESP-La Liga,2425,Valladolid,Arnau Rafús,ESP,GK,21,2003,1.0,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40.0,39.0,14,1,7.1,1,1.0,11.4
ESP-La Liga,2425,Valladolid,Karl Jakob Hein,EST,GK,22,2002,31.0,68,4,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,941,136,32.6,33.9,224,64.7,51.7,474,34,7.2,34,1.1,14.0
ESP-La Liga,2425,Villarreal,Diego Conde,ESP,GK,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,107,37.4,36.3,323,18,5.6,16,0.73,11.9
ESP-La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,23,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0.0,61,178,34.3,392,96,31.9,31.6,99,53.5,43.6,256,16,6.3,20,1.23,12.2
FRA-Ligue 1,2425,Angers,Melvin Zinga,FRA,GK,22,2002,1.0,2,1,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,22,4,40.9,39.0,11,18.2,25.6,20,1,5.0,2,2.0,16.8
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9.0,20,0.61,10.7
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53.0,42.0,195,78.5,56.4,518,28,5.4,39,1.22,14.6
FRA-Ligue 1,2425,Auxerre,Théo De Percin,MTQ,GK,23,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1
FRA-Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,25,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.6,6,20,30.0,60,7,28.3,31.4,8,37.5,36.5,30,1,3.3,3,1.5,18.5
FRA-Ligue 1,2425,Brest,Marco Bizot,NED,GK,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,30,1994,18.0,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,117,30.8,29.6,277,12,4.3,7,0.39,11.9
FRA-Ligue 1,2425,Le Havre,Mathieu Gorgelin,FRA,GK,33,1990,16.0,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,99,40.4,34.6,269,21,7.8,8,0.5,10.5
FRA-Ligue 1,2425,Lens,Brice Samba,FRA,GK,30,1994,15.0,14,4,2,3,0,17.5,0.26,3.5,0.23,82,163,50.3,435,61,29.7,30.5,76,44.7,36.1,152,17,11.2,22,1.47,16.1
FRA-Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,27,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,19,42.1,36.4,53,4,7.5,2,0.4,9.4
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,17,2,0,0,0,19.5,0.28,2.5,0.18,46,135,34.1,342,79,31.3,32.3,66,42.4,35.3,176,20,11.4,10,0.71,11.6
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,112,34.8,35.7,373,21,5.6,24,0.71,13.9
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,44,3,1,6,0,47.8,0.29,3.8,0.12,101,310,32.6,884,183,28.1,30.5,152,40.8,37.6,415,26,6.3,29,0.88,13.5
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,2,0.0,16.0,7,0,0.0,0,0.0,7.0
